step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
4,210.69627380371094,8,cifar10,1024,128,1000,lf
16,210.79409790039062,8,cifar10,1024,128,1000,lf
32,206.05136108398438,8,cifar10,1024,128,1000,lf
128,99.36308288574219,8,cifar10,1024,128,1000,lf
1,323.2085876464844,2,mnist,8,4,32,default
2,317.0372619628906,2,mnist,8,4,32,default
4,227.40151977539062,2,mnist,8,4,32,default
4,206.9621124267578,2,cifar10,64,32,128,default
8,207.39910888671875,2,cifar10,64,32,128,default
16,204.6077423095703,2,cifar10,64,32,128,default
32,211.89517211914062,2,cifar10,64,32,128,default
4,326.1604919433594,2,mnist,128,64,128,default
16,319.2626037597656,2,mnist,128,64,128,default
32,309.9914855957031,2,mnist,128,64,128,default
64,175.0802764892578,2,mnist,128,64,128,default
2,321.5040588378906,4,mnist,128,32,1000,ef
16,309.6474304199219,4,mnist,128,32,1000,ef
32,287.3857727050781,4,mnist,128,32,1000,ef
4,208.33819580078125,2,cifar10,128,64,1000,default
16,200.97113037109375,2,cifar10,128,64,1000,default
32,183.41563415527344,2,cifar10,128,64,1000,default
64,256.50048828125,2,cifar10,128,64,1000,default
1,211.2297821044922,2,cifar10,32,16,1000,nefvlf
4,210.65359497070312,2,cifar10,32,16,1000,nefvlf
8,209.1133270263672,2,cifar10,32,16,1000,nefvlf
16,206.14707946777344,2,cifar10,32,16,1000,nefvlf
1,217.5322723388672,2,cifar10,2,1,1000,default
4,322.9194030761719,2,mnist,1024,512,1000,vefnlf
64,321.8570251464844,2,mnist,1024,512,1000,vefnlf
128,318.0717468261719,2,mnist,1024,512,1000,vefnlf
512,148.7534637451172,2,mnist,1024,512,1000,vefnlf
4,204.39407348632812,2,cifar10,64,32,32,default
8,204.49432373046875,2,cifar10,64,32,32,default
16,201.1084747314453,2,cifar10,64,32,32,default
32,199.5628204345703,2,cifar10,64,32,32,default
1,209.55050659179688,2,cifar10,4,2,1000,nefvlf
2,283.67315673828125,2,cifar10,4,2,1000,nefvlf
4,206.6395263671875,2,cifar10,256,128,500,default
32,201.10845947265625,2,cifar10,256,128,500,default
64,180.61712646484375,2,cifar10,256,128,500,default
128,225.52752685546875,2,cifar10,256,128,500,default
4,326.19171142578125,4,mnist,1024,256,1000,default
64,317.8503723144531,4,mnist,1024,256,1000,default
128,311.527587890625,4,mnist,1024,256,1000,default
256,149.61924743652344,4,mnist,1024,256,1000,default
